"tdate","Ph_actual","Ph_pred","residual"
2013-02-01,72,69.65418897546,2.34581102453996
2013-02-01 01:00:00,72,69.7384834503177,2.26151654968235
2013-02-01 02:00:00,73,71.0938573656109,1.90614263438911
2013-02-01 03:00:00,73,71.4712801947057,1.5287198052943
2013-02-01 04:00:00,73,71.6330851425637,1.36691485743628
2013-02-01 05:00:00,74,71.1816985321137,2.81830146788633
2013-02-01 06:00:00,73,71.1212783091741,1.87872169082586
2013-02-01 07:00:00,74,71.2383849376072,2.76161506239286
2013-02-01 08:00:00,73,74.3838083746228,-1.38380837462279
2013-02-01 09:00:00,75,76.9356048317564,-1.9356048317564
2013-02-01 10:00:00,75,77.8900466207505,-2.89004662075054
2013-02-01 11:00:00,75,75.7296989652074,-0.729698965207414
2013-02-01 12:00:00,75,74.9058181398705,0.0941818601295236
2013-02-01 13:00:00,75,73.9773283076923,1.02267169230765
2013-02-01 14:00:00,75,69.8441821707094,5.15581782929057
2013-02-01 15:00:00,75,69.7618670901567,5.23813290984328
2013-02-01 16:00:00,72,66.4332079294485,5.56679207055147
2013-02-01 17:00:00,72,67.4186511755489,4.58134882445107
2013-02-01 18:00:00,73,72.1537023404733,0.846297659526696
2013-02-01 19:00:00,74,79.6513928910841,-5.65139289108406
2013-02-01 20:00:00,76,82.1051684874331,-6.10516848743313
2013-02-01 21:00:00,77,84.6616505176161,-7.66165051761608
2013-02-01 22:00:00,79,83.8219613557008,-4.82196135570077
2013-02-01 23:00:00,81,83.7818564542729,-2.7818564542729
2013-02-02,83,84.8505634293378,-1.85056342933777
2013-02-02 01:00:00,83,86.2303841828165,-3.23038418281646
2013-02-02 02:00:00,84,87.3126895664693,-3.31268956646926
2013-02-02 03:00:00,85,85.6031170147506,-0.603117014750621
2013-02-02 04:00:00,86,85.4640378487034,0.535962151296605
2013-02-02 05:00:00,86,85.3525597461329,0.64744025386715
2013-02-02 06:00:00,87,85.193976698314,1.80602330168601
